epoch,train_loss,val_loss,train_acc_exit0,train_acc_exit1,train_acc_exit2,train_acc_exit3,val_acc_exit0,val_acc_exit1,val_acc_exit2,val_acc_exit3,lr
189,1.8156,4.7738,71.48,88.88,98.99,99.14,63.76,71.66,72.04,71.86,0.000745
190,1.8081,4.7608,71.57,88.91,99.06,99.21,63.42,71.74,72.22,72.12,0.000616
191,1.7963,4.7538,71.50,88.96,99.16,99.27,64.18,71.92,72.50,72.30,0.000499
192,1.7856,4.7244,71.95,89.32,99.17,99.24,63.86,72.10,72.50,72.54,0.000394
193,1.7772,4.7328,71.92,89.29,99.24,99.31,63.86,72.14,72.94,72.48,0.000302
194,1.7720,4.7383,71.98,89.40,99.26,99.36,63.68,71.76,72.80,72.44,0.000222
195,1.7665,4.7444,72.01,89.60,99.27,99.38,63.56,71.74,72.78,72.34,0.000154
196,1.7672,4.7425,71.90,89.51,99.28,99.36,63.76,72.04,72.52,72.32,0.000099
197,1.7581,4.7650,72.13,89.59,99.26,99.39,63.98,71.74,72.52,72.22,0.000056
198,1.7543,4.7404,72.28,89.70,99.30,99.34,63.80,72.04,72.76,72.44,0.000025
199,1.7571,4.7451,72.13,89.54,99.34,99.43,63.92,72.14,72.70,72.60,0.000006
200,1.7594,4.7341,72.22,89.52,99.25,99.39,63.94,71.78,72.90,72.44,0.000000
